entry_ts_utc,exit_ts_utc,entry_ts_ms,exit_ts_ms,side,book_idx,tag,entry_price,exit_price,qty,realized_pnl,return_units,fees,exit_reason,max_hold_bars,stop_offset,target_offset
2026-04-07T21:00:00+00:00,2026-04-07T22:00:00+00:00,1775595600000,1775599200000,LONG,6,k7_b6,2115.62,2171.01,0.01,0.5303235350000033,0.0250670505572836,0.023576465000000005,target,,,
2026-04-07T22:00:00+00:00,2026-04-07T22:00:00+00:00,1775599200000,1775599200000,LONG,7,k7_b7,2145.34,2201.51,0.01,0.5377923250000007,0.025067929792014353,0.023907675000000003,target_entry_bar,,,
2026-04-08T13:00:00+00:00,2026-04-08T13:00:00+00:00,1775653200000,1775653200000,SHORT,1,k7_b1,2253.51,2230.97,0.01,0.2007353600000042,0.008907675581648369,0.02466464,target_entry_bar,,,
2026-04-08T18:00:00+00:00,2026-04-08T18:00:00+00:00,1775671200000,1775671200000,SHORT,2,k7_b2,2229.58,2207.28,0.01,0.19859726999999727,0.008907384798930619,0.024402730000000004,target_entry_bar,,,
2026-04-08T21:00:00+00:00,2026-04-09T01:00:00+00:00,1775682000000,1775696400000,LONG,1,k7_b1,2209.97,2165.77,0.01,-0.4660665699999982,-0.021089271347574774,0.024066570000000002,stop,,,
2026-04-08T23:00:00+00:00,2026-04-09T05:00:00+00:00,1775689200000,1775710800000,LONG,2,k7_b2,2189.8,2176.66,0.01,-0.15541553000000327,-0.007097247693853469,0.024015530000000004,max_hold,,,
2026-04-09T10:00:00+00:00,2026-04-09T13:00:00+00:00,1775728800000,1775739600000,SHORT,1,k7_b1,2191.67,2169.75,0.01,0.19521219000000073,0.008907006529267668,0.023987810000000005,target,,,
2026-04-09T11:00:00+00:00,2026-04-09T13:00:00+00:00,1775732400000,1775739600000,SHORT,2,k7_b2,2188.41,2166.53,0.01,0.19484782999999656,0.008903625463235709,0.023952170000000002,target,,,
2026-04-09T14:00:00+00:00,2026-04-09T15:00:00+00:00,1775743200000,1775746800000,LONG,1,k7_b1,2165.3,2186.95,0.01,0.19256262499999635,0.00889311527271031,0.023937375000000004,target,,,
2026-04-09T16:00:00+00:00,2026-04-09T16:00:00+00:00,1775750400000,1775750400000,SHORT,2,k7_b2,2215.88,2193.72,0.01,0.1973472000000031,0.008906041843421263,0.0242528,target_entry_bar,,,
2026-04-09T17:00:00+00:00,2026-04-09T23:00:00+00:00,1775754000000,1775775600000,SHORT,2,k7_b2,2206.13,2196.57,0.01,0.07138514999999945,0.003235763531614159,0.024214850000000003,max_hold,,,
2026-04-09T18:00:00+00:00,2026-04-10T06:00:00+00:00,1775757600000,1775800800000,SHORT,3,k7_b3,2220.85,2196.04,0.01,0.22380710499999945,0.010077542607560143,0.024292895000000002,max_hold,,,
2026-04-09T19:00:00+00:00,2026-04-10T07:00:00+00:00,1775761200000,1775804400000,SHORT,4,k7_b4,2204.9,2185.25,0.01,0.17235417500000091,0.007816870379609092,0.024145825000000003,max_hold,,,
